country,month,index_param_comb,index_repetition,n_clusters,max_cluster_size,R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba
switzerland,04,42,1,4957,2500,0.9827875054406653,0.2440026301545997,13.524035192196914,5.2,0.8824062708978788,0.12875204265932744
switzerland,04,43,1,4957,2500,0.9286079558616644,0.23417160579441906,14.577544419471351,5.2,0.5545241090819495,0.12875204265932744
switzerland,04,44,1,4957,2500,0.9179643231033392,0.2923133375631694,14.678389500645482,5.2,0.8934020879053538,0.12875204265932744
switzerland,04,45,1,4957,2500,0.9220449614760925,0.16425743529898318,13.967119583716851,5.2,0.4817477877883309,0.12875204265932744
switzerland,04,46,1,4957,2500,0.9069606401819094,0.2044345847333034,13.791512497664689,5.2,0.7816466333374551,0.12875204265932744
switzerland,04,47,1,4957,2500,0.9348989603202014,0.2138941606768217,13.927581166100529,5.2,0.773383074109817,0.12875204265932744
switzerland,04,48,1,4957,2500,0.8983583349960319,0.24661680065064298,13.578012141430126,5.2,0.6875427914407997,0.12875204265932744
switzerland,04,49,1,4957,2500,0.9300911789619597,0.19469077376850286,13.745779044869135,5.2,0.876228280834761,0.12875204265932744
switzerland,04,50,1,4957,2500,0.906870867040819,0.25781686654553926,14.322695244399876,5.2,0.8420077621726383,0.12875204265932744
switzerland,05,01,1,3663,2500,0.8680223007349276,0.33365291366120814,12.999776636219027,5.2,0.752822823700794,0.17024585751031884
switzerland,05,02,1,3663,2500,0.8863407028240636,0.31743778040746934,14.034317908873293,5.2,0.36844636997256036,0.17024585751031884
switzerland,05,03,1,3663,2500,0.9064210912696,0.2768916072126359,13.818238416858623,5.2,0.8913747282897212,0.17024585751031884
switzerland,05,04,1,3663,2500,0.9157999419259178,0.344873339611352,13.834097550038727,5.2,0.962661476072954,0.17024585751031884
switzerland,05,05,1,3663,2500,0.937366098181823,0.3097977835051056,13.712308903586852,5.2,0.7137870867265612,0.17024585751031884
switzerland,05,06,1,3663,2500,0.939736236519168,0.3044436062413021,14.626454941363075,5.2,0.71033532150428,0.17024585751031884
switzerland,05,07,1,3663,2500,0.9146271234647517,0.27561205777552994,15.047564339108071,5.2,0.9673533736915269,0.17024585751031884
switzerland,05,08,1,3663,2500,0.9430152656386493,0.2856534470398888,13.28902980921334,5.2,0.6707701876853143,0.17024585751031884
switzerland,05,09,1,3663,2500,0.887191096287181,0.23004145195516487,14.197856135612486,5.2,0.7257654599401094,0.17024585751031884
switzerland,05,10,1,3663,2500,0.9774289732426671,0.2188626266423028,13.336437134423985,5.2,0.7122727892502801,0.17024585751031884
switzerland,05,11,1,3663,2500,0.9089487731100877,0.25611675046313226,13.961776090022777,5.2,0.4201665604611562,0.17024585751031884
switzerland,05,12,1,3663,2500,0.8753261518345286,0.18491888385489744,14.171444019558281,5.2,0.9940103864245288,0.17024585751031884
switzerland,05,13,1,3663,2500,0.9311701304735072,0.29286751034344416,13.670313982049366,5.2,0.8539293549785328,0.17024585751031884
switzerland,05,14,1,3663,2500,0.8768480590242331,0.19726184423077303,14.31338477846657,5.2,0.9762613798762901,0.17024585751031884
switzerland,05,15,1,3663,2500,0.9540938173099358,0.23417796670788624,14.217661703833697,5.2,0.7727645722557852,0.17024585751031884
switzerland,05,16,1,3663,2500,0.9268903938215852,0.22789256438164512,13.527259742523656,5.2,0.7912938510325456,0.17024585751031884
switzerland,05,17,1,3663,2500,0.9023994641105596,0.20862140368817048,14.538588564680136,5.2,0.8528624242246056,0.17024585751031884
switzerland,05,18,1,3663,2500,0.8817683840251004,0.2514784073996024,14.104387114317772,5.2,0.9420919371769256,0.17024585751031884
switzerland,05,19,1,3663,2500,0.9418765880268607,0.22910251818539906,14.077629808023676,5.2,0.5207513616371566,0.17024585751031884
switzerland,05,20,1,3663,2500,0.881015981920324,0.2711556053562357,13.26774682661162,5.2,0.7327580278667294,0.17024585751031884
switzerland,05,21,1,3663,2500,0.8924037865881136,0.2523108307346755,13.857480614389377,5.2,0.9748520761118733,0.17024585751031884
switzerland,05,22,1,3663,2500,0.9593573088786566,0.24744139086463837,14.203683160334576,5.2,0.566979498276131,0.17024585751031884
switzerland,05,23,1,3663,2500,0.9168178436657837,0.2744415863508716,14.20491140115762,5.2,0.9464896171469547,0.17024585751031884
switzerland,05,24,1,3663,2500,0.9192659406390588,0.26746416353656277,13.216307432141155,5.2,0.386068957269182,0.17024585751031884
switzerland,05,25,1,3663,2500,0.8975132916693456,0.30078910369739903,14.083920165681807,5.2,0.8618227519580692,0.17024585751031884
switzerland,05,26,1,3663,2500,0.8891516843248745,0.2580239512037463,13.705470602053541,5.2,0.8914188196711895,0.17024585751031884
switzerland,05,27,1,3663,2500,0.9390988926795103,0.30526165634669544,14.158894616099847,5.2,0.9002766050645642,0.17024585751031884
