country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-25,1.5066815345292304,3.052456550194968,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-26,1.5178788328694468,2.7654958093475717,0.2702618563913217,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-27,1.5291486340287954,2.8869003860889615,0.17139688196862957,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-28,1.5351884312598625,3.707708690057343,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-29,1.5241131118089153,4.181180450578376,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-30,1.4881758062589547,4.340737064593626,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-31,1.4292462706742686,4.128694404548763,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-01,1.3591096493625356,3.5995097847238373,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-02,1.288516397657159,3.012660352661667,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-03,1.219143812704366,2.519879245652849,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-04,1.1479304819934903,2.318352253517834,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-05,1.0743063207282313,2.5214549741361574,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-06,1.002275308855,2.7345053685581613,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-07,0.9354396661669728,2.686075240936087,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-08,0.8741965224554873,2.4322649449779905,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-09,0.8185332054726453,2.154221917216195,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-10,0.7708444968273864,1.90479539375621,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-11,0.7339537774889185,1.6949347876427183,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-12,0.7096969296927973,1.5774688586102377,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-13,0.6987416919096574,1.6029416658523927,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-14,0.7021812833380687,1.7322631065683416,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-15,0.7201484922358468,1.8202170448752113,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-16,0.7536025580734977,1.8066828927259808,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-17,0.805343316329531,1.7609900511694567,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-18,0.8771959504017375,1.9574436984257364,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-19,0.9673926705591904,2.60960103004491,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-20,1.0713800708344918,3.055367650481263,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-21,1.1843582667163224,3.075280880923122,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-22,1.3008449961590354,2.947222676086998,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-23,1.412766733501029,3.2484671172263315,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-24,1.51113373733174,3.735060491674502,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-25,1.5889423184167986,3.6898368413524025,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-26,1.6406932728937331,4.261140413552556,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-27,1.6631411913747565,4.968927373429931,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-28,1.65708244525252,4.118538105969721,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-29,1.6284548230990257,3.330044528332074,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-30,1.5865964033948037,2.975937578783756,0.1972552280058515,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-08-31,1.5398035445957403,2.8408056678941858,0.2388014212972951,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-01,1.4939381329777048,2.721678805867687,0.2661974600877228,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-02,1.4544073675129867,2.649214993737502,0.2595997412884721,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-03,1.4249031895678708,2.620991470514276,0.22881490862146547,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-04,1.405670603079158,2.5874957140635573,0.22384549209475924,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-05,1.3926771636393098,2.5356788463897746,0.24967548088884503,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-06,1.3788099083479155,2.466338172752722,0.2912816439431092,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-07,1.3608642589053883,2.3575654491961875,0.364163068614589,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-08,1.3418260490173517,2.309931797596796,0.3737203004379072,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-09,1.3251176335452612,2.492960351998061,0.15727491509246172,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-10,1.3088629881781686,2.72197829255337,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-11,1.288246722383947,2.8278976225596963,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-12,1.2592857392511942,2.8287237233893023,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-13,1.221136440542268,2.673650127864984,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-14,1.174133222819646,2.5061283112815813,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-15,1.1220338553470648,2.5480229100947653,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-16,1.0701032791044096,2.534454520625186,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-17,1.0214849823605954,2.5175217863868538,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-18,0.9760876587221382,2.512613818376709,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-19,0.933662937960099,2.404651858424196,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-20,0.8956868355323551,2.2296807311868445,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-21,0.863525525615772,2.080272967382329,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-22,0.8386622507083417,2.013499282945454,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-23,0.8228282276915668,1.9862362521264216,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-24,0.8179230086917199,2.002097269242842,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-25,0.8236909807246648,2.133720678400244,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-26,0.8368241034458412,2.2086974190838946,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-27,0.8542336614888647,2.126954334518697,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-28,0.8744780711420712,2.0408201675285236,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-29,0.8981584070568333,2.01080652080433,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-09-30,0.925602882128801,2.2991073369778507,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-10-01,0.9554073428214156,3.1627627278605015,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-10-02,0.9849044923347896,3.3524131834122564,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-10-03,1.0138780461332253,2.9557532879205484,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-10-04,1.044258727757481,2.5100669431034968,0,DNK
